Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
Mai-17,31.8,23.5,13,4.2,12.3,4.7,3.2,2.8,2.6,1.8
17-Apr,31.7,23.3,12.8,4.6,12.3,4.8,3.7,2.7,2.3,1.7
Mars-17,32.5,23.3,12.6,4.4,11.6,5,3.9,2.7,2.4,1.7
17-Feb,33.1,23.4,14,4.1,9.8,4.9,4,2.8,2.1,1.7
17-Jan,35.5,23.4,13.9,4.3,7.8,5.2,4,2.5,2.1,1.3
Desember-16,36.1,23.1,14,4.3,7.1,4.8,4,2.8,1.9,1.7
16-Nov,36.3,23.8,12.5,4.3,7,5.1,4.6,2.9,2,1.6
Oktober-16,36.6,24.5,13.5,3.8,6.7,4.5,4.3,2.6,1.8,1.5
16-Sep,34.6,24.8,14.5,4.1,7.1,4.8,4.3,2.7,1.7,1.4
16-Aug,35.4,24.8,14.4,3.8,6.5,4.7,4.1,3.1,1.5,1.6
Juli-16,31.3,25.4,15,4.2,7.4,5.1,4.6,2.8,2.4,0.6
Juni-16,34.1,23.3,15.9,4.4,6.2,5,4.3,3.5,1.7,1.4
Mai-16,33.6,23.9,15.5,4,6.6,5.3,4.4,3.1,2.1,1.2
16-Apr,33.8,23.7,16.4,4.2,6.1,5.3,4.5,3.2,1.5,1.3
Mars-16,32.5,25.2,16.7,3.9,6.2,4.8,4.5,3.2,1.9,1.1
16-Feb,33,24.1,16.7,4.2,5.7,5.2,4.2,3.8,2,1.2
16-Jan,32.7,24.2,16.4,4,5.9,4.8,4.5,4,2,1.3
Desember-15,34,22,17.5,3.7,6,5,4.1,4.3,1.9,1.3
15-Nov,35.1,22,16.3,3.9,6.1,4.9,4.3,4.1,2,1.4
Oktober-15,36.4,22.9,12,4.2,6.6,5.5,5.2,4.2,1.8,1.1
15-Sep,35.6,23.3,12.2,4.1,6.3,5.7,5.2,4.8,1.4,1.1
15-Aug,36.3,23.8,12.7,4,5.8,4.9,4.5,4.7,1.7,1.7
Juli-15,37.6,22.7,12.8,4.3,5.1,5.1,4.6,4.3,1.7,1.8
Juni-15,39,22.5,12.3,3.5,5.7,5.4,4.5,4.4,1.5,1.2
Mai-15,38,24,12,3.6,5.8,5.2,4.6,4.1,1.5,1.4
15-Apr,39.5,23,11,3.6,5.6,5.7,4.9,4,1.4,1
Mars-15,41.4,22.7,10.4,3.6,5.8,5.5,4.5,3.2,1.5,1
15-Feb,41.9,21.3,11.2,3.9,5.7,5.3,4.7,3.6,1.4,1.1
15-Jan,41.5,22.6,11.3,3.7,5.4,5.3,4.6,3.4,1.2,1.1
Desember-14,41.4,22.5,11.3,3.8,5.2,5.4,4.7,3.5,1.3,0.9
14-Nov,40.2,22.6,11.5,3.9,5.3,5.9,4.7,3.5,1.4,1
Oktober-14,37.3,25.2,13.5,3.6,5.2,4.7,4.6,3.6,1.3,1.1
14-Sep,35,26.6,14.1,3.6,5,5.1,4.8,3.5,1.2,1
14-Aug,34.5,26.9,13.9,3.9,5.2,5.1,4.7,3.7,1.2,1.2
Juli-14,36.3,26.8,12.3,3,5.3,4.6,5.3,3.6,1.5,1.2
Juni-14,35,26.3,13.8,3.5,5.3,5.2,4.8,3.6,1.3,1.3
Mai-14,33.9,26.9,13.7,4,5.1,5.3,5.2,3.4,1.3,1.2
14-Apr,34.2,27.5,14,3.7,4.5,5.4,5.3,3,1.3,1.3
Mars-14,34.6,26.9,14.3,3.8,4.9,5,5.1,3.1,1.4,1.1
14-Feb,33.8,28.7,13.3,3.9,4.9,5.3,4.8,3,1.2,1.1
14-Jan,33.5,29.1,13.6,3.9,4.5,5.3,4.7,3.1,1.2,1.2
Desember-13,33.3,27.8,14.2,3.9,4.8,5.4,5.2,2.9,1.2,1.3
13-Nov,32.2,27.9,14.5,4,5,5.4,5.4,3.3,1.2,1.1
Oktober-13,31.9,27.8,14.6,4.1,4.7,5.5,5.6,3.2,1.3,1.3
13-Sep,29.7,27,15.9,4.8,5.1,6,5.5,3.2,1.4,1.4
13-Aug,29,28.9,15.2,4.3,5.3,5.4,5.3,3.5,1.5,1.5
Juli-13,28,31.6,16.2,3.9,4.6,5.2,5.2,2.3,1.9,1.2
Juni-13,28.6,32,16.4,4.3,4.5,5.3,4.2,1.5,1.5,1.5
Mai-13,28.9,31.8,16,4.7,4.5,5.3,4.7,1.4,1.5,1.3
13-Apr,27.7,32.6,16.5,5,4.8,5.1,4.5,1,1.5,1.4
Mars-13,28.1,32.4,16.8,4.4,4.8,5.2,4.7,1,1.4,1.1
13-Feb,28.4,32.9,15.6,4.9,4.7,5.3,4.5,0.9,1.4,1.3
13-Jan,28.6,33.6,15.9,4.1,4.4,5.5,4.4,0.6,1.4,1.3
Desember-12,28.6,32,16.2,4.3,4.7,5.3,5.2,0.6,1.8,1.2
12-Nov,29.6,31.4,17,4.4,4.5,5,4.9,0.3,1.5,1.2
Oktober-12,27.8,33.9,17.2,4.1,4.4,5,4.5,0.5,1.4,1.3
12-Sep,29.2,33.5,16.6,3.9,4.3,5.2,3.9,0.6,1.8,1
12-Aug,30.2,31.6,17.3,4,4.4,4.6,4.7,0.2,1.7,1.3
Juli-12,29.8,30.5,18.4,3.9,4.8,5,4.4,0.2,1.2,1.5
Juni-12,29.9,32,16.2,4.3,4.7,4.7,4.8,0.1,1.5,1.8
