Mnd,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt,Andre,Ap_var,Hoyre_var,Frp_var,SV_var,SP_var,KrF_var,Venstre_var,MDG_var,Rodt_var,Andre_var,Ap_skandale,Hoyre_skandale,Frp_skandale,SV_skandale,Sp_skandale,KrF_skandale,Venstre_skandale,MDG_skandale,Rodt_skandale,Andre_skandale,AP_skandale_lag3,AP_skandale_lag6,Hoyre_skandale_lag3,Hoyre_skandale_lag6,Frp_skandale_lag3,Frp_skandale_lag6,SV_skandale_lag3,SV_skandale_lag6,Sp_skandale_lag3,Sp_skandale_lag6,KrF_skandale_lag3,KrF_skandale_lag6,Venstre_skandale_lag3,Venstre_skandale_lag6,MDG_skandale_lag3,MDG_skandale_lag6,Rodt_skandale_lag3,Rodt_skandale_lag6,Andre_skandale_lag3,Andre_skandale_lag6,Ap_reg,Hoyre_reg,Frp_reg,SV_reg,Sp_reg,KrF_reg,Venstre_reg,MDG_reg,Rodt_reg,Andre_reg,AP_reg_lag3,AP_reg_lag6,H_reg_lag3,H_reg_lag6,FRP_reg_lag3,FRP_reg_lag6,SV_reg_lag3,SV_reg_lag6,SP_reg_lag3,SP_reg_lag6,KRF_reg_lag3,KRF_reg_lag6,Venstre_reg_lag3,Venstre_reg_lag6,MDG_reg_lag3,MDG_reg_lag6,Rodt_reg_lag3,MDG_reg_lag6,Andre_reg_lag3,Andre_reg_lag6,ledighet,ledig_trend3,ledig_trend6,styringsrente,styringsrente_trend3,styringsrente_trend6
11/30/2009,34,20.1,21.9,6,5.8,5.8,4.1,0,1.4,0,34.1282386,18.74180694,23.35758778,6.103858678,4.965387318,5.561917558,4.30714263,0.092696516,0.498916843,0.130404178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.7,0.067,0.05,1.5,0.083333333,0.018333333
12/31/2009,30.7,21.5,23.1,7.2,5.4,5.4,4.1,0,1.8,0,30.46278662,21.80679602,22.96725249,6.445188262,5.670126681,5.539707545,4.227531656,0.258784364,1.480866299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.8,0.067,0.066666667,1.61,0.113333333,0.06
1/31/2010,31.3,21.5,23.4,6.5,5.5,5.3,4,0,1.5,0,30.73878973,20.77288707,23.68773564,6.898070702,5.157500891,5.525311817,4.055336692,0.047289248,1.825941462,0.185006227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.9,0.067,0.083333333,1.75,0.083333333,0.083333333
2/28/2010,32.6,22.4,22.7,6.5,5.1,4.3,3.9,0,1.5,0,31.51779435,22.08823204,22.8843928,6.458589121,4.607738828,4.802392483,4.491531498,0.14819541,1.871752814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.9,0.033,0.066666667,1.75,0.046666667,0.083333333
3/31/2010,31.1,22.2,23.7,6.2,5.2,4.8,4.1,0,1.6,0.3,31.9597471,21.96204676,23.29604281,6.222435009,4.95888687,4.902711254,4.073384226,0.069313427,2.052529261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.9,0,0.05,1.75,0,0.08
4/30/2010,29.8,23.6,23.9,6.2,5.2,5,3.8,0,1.3,0.6,29.58076393,22.91193326,23.7007677,6.576695948,5.194865615,4.909751718,4.116843702,0.20045869,1.710697038,0.468344919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,4,0.033,0.05,1.75,0,0.041666667
5/31/2010,30.2,24.3,22.6,5.9,5.4,4.9,4.1,0,1.3,1.3,29.43526238,23.47747794,23.7535727,6.361478389,5.627469458,4.921991313,3.901752499,0.07146379,1.318882309,0.455146891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,4,0.033,0.033333333,1.96,0.07,0.058333333
6/30/2010,28.7,24.9,23.5,6.1,5.3,4.9,3.8,0,1.5,1.3,29.31701026,24.68883259,22.70826921,6.021795563,5.314332386,4.838160085,4.082909529,0.07119535,1.474583875,1.292114855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,4,0,0.016666667,2,0.083333333,0.041666667
7/31/2010,29,25.5,22.3,5.6,5.4,5.1,4.3,0,1.4,1.5,28.62121924,24.97216257,23.51330184,5.938354996,5.313529272,4.867970783,3.815052459,0.114821075,1.433672887,1.376046739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,4,0,0.016666667,2,0.013333333,0.041666667
8/31/2010,26.6,27.1,22.8,5.6,5,5.3,4.6,0,1.8,1.2,28.99365285,25.62490173,22.20966718,5.664153622,5.584239097,4.875334626,4.166730768,0.105252178,1.440786051,1.553652031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.9,-0.033,0,2,0,0.041666667
