Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Type,Undertype,Skjebne,Strategi,Antal_dager,Antall_mediesaker,Kort_beskrivelse
8/31/2020,,,,,,,,,,,,,,,,
9/30/2020,,,,,,,,,,,,,,,,
10/31/2020,,,,,,,,,,,,,,,,
11/30/2020,,,,,,,,,,,,,,,,
12/31/2020,,,,,,,,,,,,,,,,
1/31/2021,,,,,,,,,,,,,,,,
2/28/2021,,,,,,,,,,,,,,,,
3/31/2021,,1,,,,,,,,Privatliv,Lovbrudd,Ble sittende,Beklagelse,5,240,Erna Solberg brøt korona-reglene under egen 60-årsfeiring
4/30/2021,,,,,,,,,,,,,,,,
5/31/2021,,,,,,,,,,,,,,,,
6/30/2021,,,,,,,,,,,,,,,,
7/31/2021,,,,,,,,,,,,,,,,
8/31/2021,,,,,,,,,,,,,,,,
9/30/2021,,,,,,1,,,,Økonomi,Skatt,Trakk seg,Rettferdiggjøring,11,368,Kjell Ingolf Ropstad trakk seg som leder i partiet og minister etter det kom fram han var folkeregistrert på gutterommet  for å få skattefri pendlerbolig
10/31/2021,,,,,,,,,,,,,,,,
11/30/2021,1,,,,,,,,,Økonomi,Skatt,Trakk seg,Rettferdiggjøring,11,625,Eva Kristin Hansen trakk seg som stortingspresident etter det kom fram hun var folkeregistrert på en hybel hos Trond Giske for å få skattefri pendlerbolig
12/31/2021,,,,,,,,,,,,,,,,
1/31/2022,,,,,,,,,,,,,,,,
2/28/2022,1,,,,,,,,,Økonimi,Skatt,Trakk seg,Rettferdiggjøring,11,525,"Hadja Tajik trakk seg som statsråd når det kom fram hun hadde meldt inn at hun leide leilighet i Rogaland, noe hun I realiteten aldri gjorde"
3/31/2022,,,,,,,,,,,,,,,,
4/30/2022,,,,,1,,,,,Privatliv,Trakkasering,Trakk seg,Beklagelse,3,237,Odd Roger Enoksen trakk seg som statsråd da det kom fram han hadde hatt et forhold til en 18 år gammel kvinne tilbake I 2005
5/31/2022,,,,,,,,,,,,,,,,
6/30/2022,,,,,,,,,,,,,,,,
7/31/2022,,,,,,,,,,,,,,,,
8/31/2022,,,,,,,,,,,,,,,,
9/30/2022,,,,,,,,,,,,,,,,
10/31/2022,,,,,,,,,,,,,,,,
11/30/2022,,,,,,,,,,,,,,,,
12/31/2022,,,,,,,,,,,,,,,,
1/31/2023,,,,,,,,,,,,,,,,
2/28/2023,,,,,,,,,,,,,,,,
3/31/2023,,,,,,,,,,,,,,,,
4/30/2023,,,,,,,,,,,,,,,,
