Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2015-05-31;38.0;24.0;12.0;3.6;5.8;5.2;4.6;4.1;1.5;1.4
2015-06-30;39.0;22.5;12.3;3.5;5.7;5.4;4.5;4.4;1.5;1.2
2015-07-31;37.6;22.7;12.8;4.3;5.1;5.1;4.6;4.3;1.7;1.8
2015-08-31;36.3;23.8;12.7;4.0;5.8;4.9;4.5;4.7;1.7;1.7
2015-09-30;35.6;23.3;12.2;4.1;6.3;5.7;5.2;4.8;1.4;1.1
2015-10-31;36.4;22.9;12.0;4.2;6.6;5.5;5.2;4.2;1.8;1.1
2015-11-30;35.1;22.0;16.3;3.9;6.1;4.9;4.3;4.1;2.0;1.4
2015-12-31;34.0;22.0;17.5;3.7;6.0;5.0;4.1;4.3;1.9;1.3
2016-01-31;32.7;24.2;16.4;4.0;5.9;4.8;4.5;4.0;2.0;1.3
2016-02-29;33.0;24.1;16.7;4.2;5.7;5.2;4.2;3.8;2.0;1.2
2016-03-31;32.5;25.2;16.7;3.9;6.2;4.8;4.5;3.2;1.9;1.1
2016-04-30;33.8;23.7;16.4;4.2;6.1;5.3;4.5;3.2;1.5;1.3
2016-05-31;33.6;23.9;15.5;4.0;6.6;5.3;4.4;3.1;2.1;1.2
2016-06-30;34.1;23.3;15.9;4.4;6.2;5.0;4.3;3.5;1.7;1.4
2016-07-31;31.3;25.4;15.0;4.2;7.4;5.1;4.6;2.8;2.4;0.6
2016-08-31;35.4;24.8;14.4;3.8;6.5;4.7;4.1;3.1;1.5;1.6
2016-09-30;34.6;24.8;14.5;4.1;7.1;4.8;4.3;2.7;1.7;1.4
2016-10-31;36.6;24.5;13.5;3.8;6.7;4.5;4.3;2.6;1.8;1.5
2016-11-30;36.3;23.8;12.5;4.3;7.0;5.1;4.6;2.9;2.0;1.6
2016-12-31;36.1;23.1;14.0;4.3;7.1;4.8;4.0;2.8;1.9;1.7
2017-01-31;35.5;23.4;13.9;4.3;7.8;5.2;4.0;2.5;2.1;1.3
2017-02-28;33.1;23.4;14.0;4.1;9.8;4.9;4.0;2.8;2.1;1.7
2017-03-31;32.5;23.3;12.6;4.4;11.6;5.0;3.9;2.7;2.4;1.7
2017-04-30;31.7;23.3;12.8;4.6;12.3;4.8;3.7;2.7;2.3;1.7
2017-05-31;31.8;23.5;13.0;4.2;12.3;4.7;3.2;2.8;2.6;1.8
2017-06-30;31.7;23.1;13.4;4.3;12.1;4.5;3.3;3.2;2.4;2.1
2017-07-31;32.1;22.0;13.3;4.6;11.4;4.9;3.4;4.0;2.3;2.2
2017-08-31;27.9;23.8;14.5;5.6;10.7;4.8;3.6;4.0;3.0;2.0
2017-09-30;26.9;24.4;14.6;6.1;10.2;4.4;4.2;3.9;3.3;1.8
2017-10-31;26.1;26.5;13.9;6.6;10.5;3.8;4.3;3.7;2.8;1.5
2017-11-30;26.2;26.4;14.6;6.9;10.5;3.8;4.3;2.8;3.0;1.2
2017-12-31;26.2;26.6;14.4;7.1;10.6;4.1;4.0;3.4;2.4;1.2
2018-01-31;22.4;29.0;14.2;7.5;11.1;4.2;4.1;3.0;3.0;1.4
2018-02-28;23.3;28.6;13.7;7.3;10.7;4.0;4.3;3.4;3.2;1.2
2018-03-31;23.7;27.1;15.2;6.6;11.3;4.0;4.2;2.9;3.3;1.5
2018-04-30;23.8;25.8;15.8;7.3;10.9;4.2;3.7;2.8;4.3;1.4
2018-05-31;24.1;26.8;14.9;7.2;10.7;4.0;4.0;2.9;3.7;1.7
2018-06-30;23.2;27.2;13.4;7.3;11.0;4.1;4.1;3.0;4.8;1.9
2018-07-31;23.7;26.3;14.8;7.5;9.7;5.0;3.4;3.7;3.9;2.0
2018-08-31;26.1;25.8;12.8;6.7;11.7;4.2;3.8;3.1;4.6;1.3
2018-09-30;26.5;26.2;13.9;6.4;10.8;3.5;3.4;2.8;4.6;1.9
2018-10-31;27.2;25.7;13.3;6.8;11.0;4.1;3.4;2.8;3.9;1.8
2018-11-30;28.7;25.4;12.8;6.3;11.3;3.9;3.7;2.7;3.9;1.4
2018-12-31;27.7;25.0;13.0;7.0;11.4;3.6;3.6;3.0;4.1;1.3
2019-01-31;28.3;24.2;12.3;7.4;11.9;3.5;3.3;3.1;4.0;1.4
