,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
230,52,29,37,11,13,3,8,3,11
231,45,29,40,13,12,3,8,7,12
232,44,33,36,12,14,3,9,8,11
233,47,24,42,13,13,7,8,9,13
234,49,30,39,12,11,3,3,8,13
235,47,26,42,12,15,3,8,3,12
236,52,25,39,12,14,3,8,7,11
237,52,24,39,13,12,3,8,8,12
238,50,24,39,12,15,3,8,7,13
239,51,28,35,13,16,3,8,3,12
240,46,27,41,14,12,3,9,8,12
241,43,29,39,12,16,8,8,3,12
242,47,26,41,13,13,3,9,8,11
243,47,30,41,13,11,3,8,3,12
244,51,25,36,13,15,7,7,8,12
245,49,26,38,13,12,8,8,9,11
246,49,27,39,13,13,3,8,8,11
247,51,28,38,13,12,3,8,8,11
248,49,25,38,12,13,3,8,8,14
249,46,28,40,11,15,3,9,3,12
250,49,28,41,13,12,3,8,3,10
251,48,28,39,12,15,3,3,8,13
252,46,29,38,12,12,7,8,8,13
253,50,24,40,13,13,3,8,8,11
254,52,28,40,12,11,3,3,3,11
255,48,26,39,13,13,3,8,7,11
256,50,24,40,12,14,8,8,8,11
257,51,28,36,12,13,3,9,8,11
258,54,24,41,13,10,3,8,8,11
259,51,26,38,13,14,3,7,7,12
260,49,28,37,12,15,3,8,8,11
261,50,28,37,13,10,8,9,3,12
262,48,25,39,12,13,3,8,7,13
263,51,27,41,11,11,3,7,8,13
264,50,26,39,13,14,3,8,8,10
265,51,25,40,12,12,7,9,3,11
266,48,32,38,12,10,3,9,8,10
267,52,25,40,12,11,3,3,8,12
268,47,28,41,13,10,3,8,8,12
269,46,30,39,13,13,3,9,7,11
270,48,27,40,13,13,3,9,8,11
271,51,25,37,13,14,3,9,3,12
272,52,27,37,12,12,3,8,8,11
273,46,28,43,11,13,3,7,3,12
274,48,27,39,12,16,3,8,7,12
275,52,26,39,11,13,3,8,7,12
276,44,29,41,13,13,3,3,9,13
277,50,26,41,13,11,3,8,7,11
278,52,31,37,12,9,3,9,7,10
279,42,28,42,12,16,3,9,8,12
280,49,28,39,13,12,3,7,8,12
281,53,27,36,12,12,3,8,8,12
282,49,29,41,12,12,3,7,3,11
283,46,28,40,12,14,3,8,3,12
284,51,25,39,13,14,3,8,8,13
285,50,25,37,14,13,3,8,9,12
286,53,24,39,12,13,7,8,8,11
287,46,27,41,11,15,3,8,8,12
288,51,24,39,15,11,7,9,8,11
289,54,26,37,13,13,3,3,3,11
290,52,26,39,13,11,3,8,3,12
291,49,28,36,13,14,7,8,3,12
292,48,30,36,14,12,3,7,7,12
293,47,28,37,11,14,3,9,8,14
294,45,31,39,12,11,8,9,8,12
295,47,30,39,13,11,3,10,3,11
296,47,26,38,12,18,3,8,7,12
297,49,27,38,14,11,7,8,8,11
298,47,26,39,14,15,3,7,3,13
299,47,29,41,12,12,3,8,3,12
300,50,29,39,12,11,3,8,3,11
301,49,29,40,11,10,3,8,8,11
302,43,33,41,12,12,3,8,3,11
303,49,25,40,14,13,3,9,8,11
304,46,28,40,12,15,3,8,7,12
305,46,24,41,13,14,3,9,8,13
306,49,26,39,13,13,3,8,7,12
307,48,30,37,13,12,7,9,7,11
308,49,31,37,12,11,3,8,3,12
309,54,25,39,12,13,3,3,8,11
310,55,22,39,12,13,3,8,8,11
311,51,28,37,12,13,3,3,8,12
312,50,27,39,13,12,7,7,7,12
313,46,28,38,14,12,8,8,8,11
314,48,26,40,13,12,8,9,7,12
315,49,23,39,13,14,3,9,8,12
316,49,27,38,13,12,3,8,7,13
317,52,25,37,12,13,3,9,8,12
318,51,27,38,13,15,3,3,3,12
319,51,29,37,13,12,3,3,8,12
320,49,28,40,12,15,3,8,3,11
321,48,29,41,12,12,3,7,8,12
322,49,25,42,13,11,3,8,8,12
323,56,28,34,11,11,3,9,7,10
324,47,27,39,11,14,8,8,9,11
325,48,27,38,13,14,3,10,8,11
326,50,27,38,14,14,3,3,3,11
327,54,26,39,12,10,7,8,3,12
328,45,30,43,12,11,3,7,3,12
329,49,26,41,12,13,3,8,7,12
330,47,27,40,14,12,7,8,9,11
331,48,29,38,13,13,3,8,3,11
332,50,25,40,13,13,7,10,3,12
333,48,27,43,14,10,3,9,7,12
334,52,28,37,12,12,3,9,8,10
335,48,28,39,12,12,3,9,3,12
336,51,26,40,12,13,3,7,7,12
337,48,28,42,12,13,3,8,7,10
338,49,25,40,13,13,3,9,8,13
339,49,26,40,12,12,8,8,3,12
340,46,27,41,13,11,3,8,8,12
