Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre;Ap_prev;Ap_trend_3;Ap_trend_6;Hoyre_prev;Hoyre_trend_3;Hoyre_trend_6;Frp_prev;Frp_trend_3;Frp_trend_6;SV_prev;SV_trend_3;SV_trend_6;Sp_prev;Sp_trend_3;Sp_trend_6;KrF_prev;KrF_trend_3;KrF_trend_6;Venstre_prev;Venstre_trend_3;Venstre_trend_6;MDG_prev;MDG_trend_3;MDG_trend_6;Rodt_prev;Rodt_trend_3;Rodt_trend_6;Andre_prev;Andre_trend_3;Andre_trend_6
Juli-23;19.7;29.8;14.2;7.4;7.0;3.5;4.8;3.4;5.4;5.2;18.6;1.5;0.8000000000000007;31.4;-1.1000000000000014;-1.0;12.4;0.3000000000000007;0.40000000000000036;8.2;-0.9000000000000004;-1.1000000000000014;6.2;0.10000000000000053;0.7999999999999998;3.8;0.0;0.5999999999999996;4.5;-0.2999999999999998;-0.20000000000000018;3.6;0.20000000000000018;-0.10000000000000009;6.2;0.10000000000000053;-0.8999999999999995;5.3;0.39999999999999947;0.8999999999999995
Juni-23;18.6;31.4;12.4;8.2;6.2;3.8;4.5;3.6;6.2;5.3;18.7;0.1999999999999993;0.5999999999999979;31.7;0.0;0.8000000000000007;12.1;-0.5999999999999996;-1.3000000000000007;8.5;-0.09999999999999964;0.0;6.2;0.5;1.0;4.0;0.3999999999999999;0.3999999999999999;4.5;0.09999999999999964;0.0;3.7;0.30000000000000027;-0.09999999999999964;5.8;-0.9000000000000004;-0.9000000000000004;4.9;0.10000000000000053;-0.1999999999999993
Mai-23;18.7;31.7;12.1;8.5;6.2;4.0;4.5;3.7;5.8;4.9;18.2;-0.9000000000000021;-1.4000000000000021;31.5;0.6000000000000014;2.3000000000000007;12.2;-0.7000000000000011;-1.3000000000000007;8.6;0.0;-0.5;5.7;-0.39999999999999947;-0.2999999999999998;3.7;0.5;0.20000000000000018;4.9;0.6000000000000005;0.7000000000000002;3.9;0.2999999999999998;0.10000000000000009;5.9;-0.39999999999999947;-0.6999999999999993;5.5;0.5;0.9000000000000004
April-23;18.2;31.5;12.2;8.6;5.7;3.7;4.9;3.9;5.9;5.5;17.1;-0.6999999999999993;-2.8999999999999986;32.5;0.10000000000000142;3.6999999999999993;12.1;0.09999999999999964;-1.9000000000000004;9.1;-0.20000000000000107;1.0;6.1;0.6999999999999993;0.1999999999999993;3.8;0.5999999999999996;0.2999999999999998;4.8;0.09999999999999964;0.09999999999999964;3.4;-0.30000000000000027;-0.10000000000000009;6.1;-1.0;-1.4000000000000004;4.9;0.5;0.7000000000000002
Mars-23;17.1;32.5;12.1;9.1;6.1;3.8;4.8;3.4;6.1;4.9;18.5;0.3999999999999986;-2.1000000000000014;31.7;0.8000000000000007;3.0;12.7;-0.7000000000000011;-1.1000000000000014;8.6;0.09999999999999964;0.0;5.7;0.5;-0.7000000000000002;3.6;0.0;-0.10000000000000009;4.4;-0.09999999999999964;0.10000000000000053;3.4;-0.3999999999999999;-0.20000000000000018;6.7;0.0;0.0;4.8;-0.2999999999999998;0.8999999999999999
Februar-23;18.5;31.7;12.7;8.6;5.7;3.6;4.4;3.4;6.7;4.8;19.1;-0.5;-2.1999999999999993;30.9;1.6999999999999993;1.6999999999999993;12.9;-0.5999999999999996;-0.6999999999999993;8.6;-0.5;-0.5999999999999996;6.1;0.09999999999999964;-0.10000000000000053;3.2;-0.2999999999999998;0.0;4.3;0.09999999999999964;0.09999999999999964;3.6;-0.19999999999999973;0.30000000000000027;6.3;-0.2999999999999998;0.09999999999999964;5.0;0.40000000000000036;1.0
Januar-23;19.1;30.9;12.9;8.6;6.1;3.2;4.3;3.6;6.3;5.0;17.8;-2.1999999999999993;-3.6999999999999993;32.4;3.599999999999998;5.299999999999997;12.0;-2.0;-2.3000000000000007;9.3;1.200000000000001;0.20000000000000107;5.4;-0.5;-1.7999999999999998;3.2;-0.2999999999999998;0.0;4.7;0.0;0.20000000000000018;3.7;0.20000000000000018;0.20000000000000018;7.1;-0.40000000000000036;1.0999999999999996;4.4;0.20000000000000018;0.7000000000000002
Desember-22;17.8;32.4;12.0;9.3;5.4;3.2;4.7;3.7;7.1;4.4;18.1;-2.5;-4.599999999999998;30.9;2.1999999999999993;3.599999999999998;13.4;-0.40000000000000036;0.5;8.5;-0.09999999999999964;0.40000000000000036;5.2;-1.2000000000000002;-1.8999999999999995;3.6;-0.10000000000000009;-0.10000000000000009;4.5;0.20000000000000018;-0.2999999999999998;3.8;0.19999999999999973;0.3999999999999999;6.7;0.0;0.40000000000000036;5.1;1.1999999999999997;1.3999999999999995
November-22;18.1;30.9;13.4;8.5;5.2;3.6;4.5;3.8;6.7;5.1;19.6;-1.6999999999999993;-4.0;29.2;0.0;1.6999999999999993;13.5;-0.09999999999999964;1.0;9.1;-0.09999999999999964;1.0999999999999996;6.0;-0.20000000000000018;-1.2999999999999998;3.5;0.2999999999999998;0.20000000000000018;4.2;0.0;-0.5999999999999996;3.8;0.5;0.3999999999999999;6.6;0.39999999999999947;0.5;4.6;0.5999999999999996;1.0999999999999996
Oktober-22;19.6;29.2;13.5;9.1;6.0;3.5;4.2;3.8;6.6;4.6;20.0;-1.5;-2.8000000000000007;28.8;1.6999999999999993;2.1999999999999993;14.0;-0.3000000000000007;2.5;8.1;-1.0;0.2999999999999998;5.9;-1.2999999999999998;-2.4000000000000004;3.5;0.2999999999999998;0.0;4.7;0.20000000000000018;0.10000000000000053;3.5;0.0;-0.20000000000000018;7.5;1.5;-0.09999999999999964;4.2;0.5;0.40000000000000036
